Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Колесниченко,Яків,Григорович,Чоловіча,19-04-1954,Шериф,селище Благовіщенське,"вулиця Вчительська, буд. 620 кв. 2, Тульчин, 04332",079 297 72 56,avramenkoiakiv@example.org
Туркало,Олександр,Владиславович,Чоловіча,16-08-1973,Адвокат,місто Гайворон,"вулиця Фруктовий, буд. 13 кв. 448, Свалява, 02812",485-44-74,khudiakivan@example.org
Засенко,Азар,Єгорович,Чоловіча,21-05-1984,Електромонтажник,хутір Лохвиця,"узвіз Монгольська, буд. 50 кв. 864, Кременчук, 19070",+380 55 838-96-18,prokopovychdemian@example.com
Шинкаренко,Віталій,Омелянович,Чоловіча,14-03-1964,Краєзнавець,хутір Курахове,"площа Лінія 27-ма, буд. 9 кв. 52, Мукачево, 26571",771-98-94,shevchenkohavrylo@example.com
Калениченко,Альберт,Владиславович,Чоловіча,13-11-1987,Прокурор,місто Перещепине,"набережна Миколи Троїцького, буд. 56 кв. 770, Ірпінь, 17596",679 37 02,kgerega@example.net
Сиротенко,Леонтій,Іванович,Чоловіча,25-12-1987,Електрослюсар,місто Яготин,"узвіз Почаївська, буд. 865 кв. 6, Копичинці, 22911",915 00 45,klyment73@example.org
Андрусенко,Ада,Євгенівна,Жіноча,07-05-1988,Агроном,місто Вашківці,"вулиця Середньофонтанська, буд. 4, Дубровиця, 83246",+380 (91) 184-86-04,khomakhorishko@example.org
Гресь,Надія,Ярославівна,Жіноча,02-12-1964,Кіноактор,селище Семенівка,"площа Ясна, буд. 917 кв. 917, Херсон, 13064",484 73 17,gerusmykhailyna@example.net
Корсун,Прохір,Омелянович,Чоловіча,15-08-1948,Краєзнавець,хутір Щолкіне,"сквер Мирослава Скорика, буд. 939 кв. 878, П'ятихатки, 48410",+380 14 504 71 66,symon73@example.org
Алексюк,Зиновій,Степанович,Чоловіча,12-12-1949,Гицель,селище Перевальськ,"шосе Медовий, буд. 0, Верхівцеве, 27134",014 257 67 61,stefanbezditko@example.com
Чекалюк,Зорян,Ілліч,Чоловіча,06-01-1966,Філолог,село Соледар,"парк Академічна, буд. 445, Радивилів, 43765",043 633-54-03,dneporozhnii@example.org
Щербань,Оксана,Єгорівна,Жіноча,20-02-1987,Водій,селище Великі Мости,"сквер Райдужна, буд. 605 кв. 3, Жданівка, 37722",126-73-89,khomashchyrytsia@example.org
Баран,Микита,Матвійович,Чоловіча,06-08-1979,Епідеміолог,село Вугледар,"узвіз Євгена Крамаренка, буд. 3 кв. 06, Новий Розділ, 51918",266-50-19,hishchenko@example.com
Гаврилець,Іван,Павлович,Чоловіча,22-11-1989,Гицель,хутір Новоселиця,"площа Караїмська, буд. 8, Рожище, 05277",+380 45 773-65-46,levkokhrystenko@example.org
Артимович,Онисим,Андрійович,Чоловіча,16-03-1975,Ґрунтознавець,місто Калинівка,"провулок Амундсена, 3-й, буд. 966, Дубно, 78302",+380 (11) 403-41-05,vlokhazar@example.com
Андрійчук,Тереза,Григорівна,Жіноча,19-07-1943,Детектив,село Барвінкове,"вулиця Косовська, буд. 318 кв. 15, Костянтинівка, 81419",044 609-72-62,pylyp41@example.net
Захаренко,Євген,Васильович,Чоловіча,15-06-1993,Астронавт,хутір Івано-Франківськ,"узвіз Москеті, буд. 8 кв. 372, Мукачево, 72361",+380 03 706 10 24,marusiazhurba@example.org
Стець,Хома,Артемович,Чоловіча,03-06-1976,Круп'є,хутір Лисичанськ,"площа Ямчитського, буд. 90 кв. 731, Роздільна, 24956",+380 19 411-98-20,eiemelianenko@example.net
Яремко,Юстина,Олексіївна,Жіноча,16-12-2006,Реабілітолог,селище Радивилів,"вулиця Сонячна, буд. 778 кв. 0, Оріхів, 15563",+380 25 255-38-74,serhiiartymyshyn@example.com
Чуприна,Соломія,Максимівна,Жіноча,22-12-2005,Фармацевт,село Голубівка,"узвіз Агрономічна, буд. 34, Новий Розділ, 49949",096 907-47-17,hshmorhun@example.net
Яремко,Гліб,Ілліч,Чоловіча,08-11-1988,Ботанік,село Шепетівка,"сквер Головна, буд. 909, Джанкой, 48953",856-18-70,ckhomyk@example.com
Аврамчук,Станіслав,Богданович,Чоловіча,02-03-1978,Кушнір,місто Лохвиця,"сквер Академіка Філатова, буд. 439 кв. 780, Лебедин, 23416",+380 (75) 889-22-03,irena48@example.org
Алексюк,Азар,Олексійович,Чоловіча,21-05-1988,Конструктор,хутір Гірське,"узвіз Баркасний, буд. 93, Хирів, 59344",795-13-23,pavlychenkopylyp@example.net
Байда,Тереза,Веніамінівна,Жіноча,25-09-1996,Слідчий,селище Тростянець,"площа Рожева, буд. 647 кв. 388, Торецьк, 64669",+380 07 811 32 62,rostyslav11@example.net
Бгиденко,Амалія,Олегівна,Жіноча,21-09-1980,Бібліограф,хутір Дубляни,"набережна Буковецького, буд. 3 кв. 21, Кодима, 73259",391-68-31,vakulenkohennadii@example.com
Дробаха,Аліна,Леонідівна,Жіноча,27-10-1964,Менеджер,селище Вознесенськ,"сквер Тетяни Тесс, буд. 2 кв. 64, Берислав, 60038",026 18 85,pustovitzlatoslava@example.org
Деркач,Устим,Романович,Чоловіча,02-06-1943,Дантист,місто Мукачево,"вулиця Лінія 25-та, буд. 7 кв. 8, Славута, 92269",+380 00 609-38-35,zpiatachenko@example.net
Кармалюк,Розалія,Єфремівна,Жіноча,14-12-1989,Сценарист,хутір Сіверськ,"набережна Лінія 50-та, буд. 821, Самар, 73551",774-95-72,ikhomenko@example.org
Бабійчук,Марко,Костянтинович,Чоловіча,30-08-1949,Кухар,село Ананьїв,"вулиця Проточний, буд. 407, Берегове, 38557",121 42 75,aoliinyk@example.com
Тягнибок,Василь,Єфремович,Чоловіча,21-03-1952,Реставратор,село Докучаєвськ,"набережна Лиманчик 2-й Лінія 2-га, буд. 329, Татарбунари, 39401",032 883 31 19,jieroshenko@example.org
Деркач,Лесь,Євгенович,Чоловіча,20-07-1998,Дантист,село Ясинувата,"шосе Олександрійський, буд. 52, Сколе, 16777",084 039-84-37,spas74@example.com
Шило,Тетяна,Маркелівна,Жіноча,22-03-1994,Антрополог,місто Снігурівка,"набережна Соляний 3-й, буд. 689, Луганськ, 23609",+380 59 928 85 35,tsymballiudmyla@example.net
Цимбалюк,Тетяна,Лук’янівна,Жіноча,19-07-1952,Ювелір,село Сватове,"парк Слобідська, буд. 418 кв. 927, Ічня, 37366",409-32-18,iustynapiatachenko@example.com
Дубина,Анжела,Іллівна,Жіноча,23-10-1962,Модельєр,місто Південне,"набережна Фабрична, буд. 694 кв. 207, Федорівка, 50478",+380 66 752-81-86,atroshchenkonadiia@example.com
Баранець,Остап,Єфремович,Чоловіча,06-04-1948,Бібліотекар,хутір Середина-Буда,"площа Стражеска Миколи, буд. 626, Попасна, 46033",724 37 12,oskoryk@example.net
Масоха,Данило,Тарасович,Чоловіча,12-07-1959,Публіцист,село Покровськ,"вулиця Краснослобідський, буд. 56, Кам'янка-Дніпровська, 46791",+380 19 285 58 68,hsmyk@example.net
Тесля,Павло,Рустамович,Чоловіча,30-08-1960,Електромонтажник,село Нове Давидково,"площа Базарна, буд. 79, Саки, 73412",026 601 34 10,roksolanaiefymenko@example.com
Василевич,Давид,Євгенович,Чоловіча,03-02-1980,Дантист,хутір Іршава,"сквер Йосипа Тимченка, буд. 076 кв. 901, Жовква, 29417",812 97 87,mykytazabara@example.com
Дзюба,Панас,Маркелович,Чоловіча,07-10-1956,Гінеколог,село Нетішин,"парк Юрія Кондратюка, буд. 524, Мерефа, 96461",+380 90 598-92-16,spaskhorishko@example.org
Деряжна,Ольга,Ярославівна,Жіноча,09-01-1981,Співак,місто Овруч,"набережна Стрийський, буд. 65, Соледар, 58824",+380 68 462-18-22,cherinkoandrii@example.org
Іщенко,Дан,Олександрович,Чоловіча,03-09-1944,Кушнір,селище Дружківка,"вулиця Ігоря Іванова, буд. 2 кв. 22, Шаргород, 80775",+380 49 885-11-64,adamvertyporokh@example.net
